,des_spring_k,des_spring_k,des_zeta,des_zeta,max_height,max_height,rollout/ep_len_mean,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/ep_rew_mean,time/fps,time/fps,train/actor_loss,train/actor_loss,train/critic_loss,train/critic_loss,train/learning_rate,train/learning_rate
,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time,value,wall_time
10638,7947.40869140625,1647375113.4355946,0.006396353244781494,1647375113.4356472,0.010352873243391514,1647375113.4356766,35.08000183105469,1647375113.4357011,-7.185044765472412,1647375113.4357238,4367.0,1647375113.4357476,,,,,,
10795,5215.85400390625,1647375113.472321,0.0077561852522194386,1647375113.4723802,0.0027694706805050373,1647375113.4724088,35.68000030517578,1647375113.4724326,-7.185714244842529,1647375113.4724553,4366.0,1647375113.4724782,,,,,,
10922,6759.8955078125,1647375113.5003357,0.007736945059150457,1647375113.500387,0.0019811743404716253,1647375113.500416,35.54999923706055,1647375113.5004401,-7.186622142791748,1647375113.500462,4368.0,1647375113.5004857,,,,,,
11124,3456.71923828125,1647375113.543098,0.007203691639006138,1647375113.543151,0.0014679450541734695,1647375113.5431805,36.22999954223633,1647375113.5432045,-7.186219215393066,1647375113.5432267,4373.0,1647375113.5432503,,,,,,
11250,3963.76318359375,1647375113.573853,0.008645214140415192,1647375113.5739038,0.0035139727406203747,1647375113.573933,36.11000061035156,1647375113.573957,-7.074870586395264,1647375113.573979,4370.0,1647375113.5740023,,,,,,
11445,5648.7275390625,1647375113.6149018,0.004572496749460697,1647375113.614953,0.00976510625332594,1647375113.614982,36.400001525878906,1647375113.6150062,-7.073737144470215,1647375113.6150284,4376.0,1647375113.615052,,,,,,
11595,6124.6806640625,1647375113.6466584,0.0027767096180468798,1647375113.6467087,0.0019560721702873707,1647375113.6467376,36.68000030517578,1647375113.6467617,-7.075738906860352,1647375113.646783,4380.0,1647375113.6468067,,,,,,
11725,8052.59521484375,1647375113.6746466,0.005836471915245056,1647375113.6746984,0.00528357969596982,1647375113.6747272,36.650001525878906,1647375113.6747506,-7.348476409912109,1647375113.6747725,4383.0,1647375113.674795,,,,,,
11929,3062.08740234375,1647375113.7196658,0.003931345418095589,1647375113.719719,0.0016685572918504477,1647375113.719748,36.66999816894531,1647375113.7197716,-7.325198173522949,1647375113.7197943,4386.0,1647375113.7198176,,,,,,
12109,8765.2060546875,1647375113.7578824,0.009388589300215244,1647375113.7579417,0.0015461643924936652,1647375113.7579703,37.150001525878906,1647375113.757994,-7.326266765594482,1647375113.7580245,4390.0,1647375113.7580729,,,,,,
12241,6977.583984375,1647375113.7870696,0.003077109344303608,1647375113.7871206,0.009100678376853466,1647375113.787149,37.470001220703125,1647375113.787172,-7.324001789093018,1647375113.7871938,4391.0,1647375113.7872167,,,,,,
12396,5618.775390625,1647375113.8199182,0.005079622380435467,1647375113.819972,0.000545027491170913,1647375113.8200247,36.599998474121094,1647375113.8200758,-7.322885036468506,1647375113.8201065,4395.0,1647375113.8201323,,,,,,
12522,3022.573974609375,1647375113.8472521,0.0074493479914963245,1647375113.8473234,0.001725583802908659,1647375113.8473616,35.61000061035156,1647375113.8473866,-7.169764518737793,1647375113.8474092,4397.0,1647375113.8474326,,,,,,
12616,9002.7900390625,1647375113.867849,0.005970497615635395,1647375113.8679123,0.0016941095236688852,1647375113.8679433,34.79999923706055,1647375113.867968,-7.156953811645508,1647375113.8679905,4398.0,1647375113.868014,,,,,,
12741,7093.94189453125,1647375113.8944652,0.0010081265354529023,1647375113.8945274,0.003978815861046314,1647375113.8945584,34.91999816894531,1647375113.8945928,-7.1531596183776855,1647375113.894616,4401.0,1647375113.8946402,,,,,,
12866,8064.591796875,1647375113.921439,0.009134240448474884,1647375113.9215097,0.0030848609749227762,1647375113.9215467,34.7400016784668,1647375113.9215717,-7.153719902038574,1647375113.9215946,4403.0,1647375113.9216187,,,,,,
12995,8131.9814453125,1647375113.9488156,0.001932529266923666,1647375113.9488797,0.004388708621263504,1647375113.9489198,35.2400016784668,1647375113.9489462,-7.14926815032959,1647375113.9489686,4406.0,1647375113.9489923,,,,,,
13106,9716.5458984375,1647375113.9731555,0.007029515225440264,1647375113.973223,0.0017167653422802687,1647375113.973254,35.31999969482422,1647375113.9732785,-7.167668342590332,1647375113.9733007,4407.0,1647375113.9733245,,,,,,
13246,4629.51416015625,1647375114.0026546,0.007850601337850094,1647375114.0027225,0.0020339633338153362,1647375114.002755,35.650001525878906,1647375114.0027857,-7.1663923263549805,1647375114.0028148,4411.0,1647375114.0028381,,,,,,
13385,6910.326171875,1647375114.032171,0.0017321486957371235,1647375114.0322442,0.0012128448579460382,1647375114.0322752,36.11000061035156,1647375114.0322995,-7.17452335357666,1647375114.032322,4414.0,1647375114.0323455,,,,,,
13516,9599.908203125,1647375114.0666811,0.008263851515948772,1647375114.066739,0.01154960598796606,1647375114.0667691,35.709999084472656,1647375114.066801,-7.176891803741455,1647375114.066857,4407.0,1647375114.0669098,,,,,,
13636,8486.279296875,1647375114.093235,0.009933392517268658,1647375114.0932853,0.002466449048370123,1647375114.0933135,35.45000076293945,1647375114.0933409,-0.344649076461792,1647375114.0933864,4408.0,1647375114.093435,,,,,,
13722,6427.18505859375,1647375114.1133616,0.0020899681840091944,1647375114.1134114,0.0021194000728428364,1647375114.1134443,35.22999954223633,1647375114.1134725,-0.34499382972717285,1647375114.113519,4407.0,1647375114.1135693,,,,,,
13855,4184.93994140625,1647375114.1419375,0.008904384449124336,1647375114.1419885,0.002010555937886238,1647375114.1420174,35.439998626708984,1647375114.1420412,-0.3457806706428528,1647375114.1420631,4409.0,1647375114.1421003,,,,,,
13954,8013.97705078125,1647375114.1643374,0.005415964871644974,1647375114.1643898,0.0001786694920156151,1647375114.164444,34.75,1647375114.1644933,-0.34554043412208557,1647375114.1645222,4409.0,1647375114.164547,,,,,,
14111,4906.39892578125,1647375114.2062452,0.002491713035851717,1647375114.2063723,0.005097273737192154,1647375114.2064586,34.72999954223633,1647375114.2065406,-0.36121031641960144,1647375114.20662,4401.0,1647375114.206698,,,,,,
14234,8502.2783203125,1647375114.2337875,0.004830357618629932,1647375114.2338374,0.002517283894121647,1647375114.2338655,34.38999938964844,1647375114.2338889,-0.38173335790634155,1647375114.233911,4401.0,1647375114.2339344,,,,,,
14403,5490.76708984375,1647375114.270654,0.008104088716208935,1647375114.2707076,0.0027834863867610693,1647375114.2707388,34.810001373291016,1647375114.270766,-0.3798466920852661,1647375114.270792,4403.0,1647375114.2708185,,,,,,
14532,4587.9306640625,1647375114.3004777,0.00039336629561148584,1647375114.3005273,0.005655763205140829,1647375114.3005555,34.08000183105469,1647375114.3005793,-0.3790868818759918,1647375114.3006012,4402.0,1647375114.3006241,,,,,,
14660,7878.61962890625,1647375114.3303835,0.002744089113548398,1647375114.3304353,0.0006275369669310749,1647375114.330465,34.099998474121094,1647375114.3304892,-0.3784234821796417,1647375114.3305118,4401.0,1647375114.3305354,,,,,,
14799,3950.60791015625,1647375114.3604295,0.0011997801484540105,1647375114.3604815,0.0007974657346494496,1647375114.3605108,33.540000915527344,1647375114.3605351,-0.37761378288269043,1647375114.3605576,4403.0,1647375114.3605814,,,,,,
14917,9578.3623046875,1647375114.3854148,0.00885037798434496,1647375114.385465,0.001668969402089715,1647375114.3854935,33.220001220703125,1647375114.3855176,-0.37567588686943054,1647375114.3855398,4406.0,1647375114.3855634,,,,,,
15009,6061.88671875,1647375114.4065006,0.00240913568995893,1647375114.406553,0.0009580597397871315,1647375114.4065835,32.84000015258789,1647375114.4066083,-0.10332269966602325,1647375114.4066317,4405.0,1647375114.4066565,,,,,,
15148,9060.6826171875,1647375114.4374485,6.1492669374274556e-06,1647375114.4375005,0.0012901225127279758,1647375114.4375288,32.189998626708984,1647375114.4375527,-0.1033305823802948,1647375114.4375746,4406.0,1647375114.437605,,,,,,
15247,5907.560546875,1647375114.4623165,0.0013199978275224566,1647375114.4623656,0.0026584602892398834,1647375114.462395,31.3799991607666,1647375114.4624188,-0.10591582953929901,1647375114.4624407,4403.0,1647375114.462464,,,,,,
15372,7498.66845703125,1647375114.4952404,0.004816556815057993,1647375114.4952965,0.004421704914420843,1647375114.4953268,31.309999465942383,1647375114.4953513,-0.10594899207353592,1647375114.495374,4397.0,1647375114.4953976,,,,,,
15538,7662.69189453125,1647375114.529766,0.0030129540245980024,1647375114.5298166,0.006668256130069494,1647375114.5298443,31.420000076293945,1647375114.529868,-0.1061306968331337,1647375114.5298896,4401.0,1647375114.5299132,,,,,,
15644,9568.71484375,1647375114.5526352,0.008815908804535866,1647375114.5526888,0.0025597475469112396,1647375114.5527327,31.219999313354492,1647375114.5527809,-0.11542046070098877,1647375114.5528204,4403.0,1647375114.552847,,,,,,
15774,5680.0830078125,1647375114.582221,0.0024678243789821863,1647375114.5822725,0.007199825718998909,1647375114.5823016,31.579999923706055,1647375114.582326,-0.12640923261642456,1647375114.5823486,4403.0,1647375114.582372,,,,,,
15920,9268.099609375,1647375114.612945,0.00877755880355835,1647375114.6129963,0.002055269666016102,1647375114.6130254,31.790000915527344,1647375114.6130502,-0.12478438764810562,1647375114.613073,4406.0,1647375114.613097,,,,,,
16066,9681.08984375,1647375114.6444514,0.0017837036866694689,1647375114.6445096,0.008170547895133495,1647375114.6445625,32.0,1647375114.6446064,-0.12399277091026306,1647375114.6446326,4408.0,1647375114.6446571,,,,,,
